id,tipo,ambiente,area_m2,configuracao,acabamento,descricao,origem
1,Apto,Banheiro,3.0,1Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto",expandido
2,Apto,Banheiro,4.0,1Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto",base
3,Apto,Banheiro,6.0,1Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto",expandido
4,Apto,Banheiro,4.0,2Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
5,Apto,Banheiro,5.0,2Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",base
6,Apto,Banheiro,7.0,2Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
7,Apto,Banheiro,8.0,2Q+2B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
8,Apto,Banheiro,4.0,2Q+2B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
9,Apto,Banheiro,6.0,2Q+2B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",base
10,Apto,Banheiro social,3,3Q+2B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
11,Apto,Banheiro social,4.0,3Q+2B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",base
12,Apto,Banheiro social,6.0,3Q+2B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
13,Apto,Lavabo,2.0,3Q+2B,Luxo,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",base
14,Apto,Lavabo,3.0,3Q+2B,Luxo,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
15,Apto,Banheiro,3.0,2Q+1B,Popular,"Banheiro econômico: pintura de azulejos existentes, troca de louças/metais por modelos básicos, novo vaso sanitário, box acrílico e revisão de sifões/flexíveis",expandido
16,Apto,Banheiro,4.0,2Q+1B,Popular,"Banheiro econômico: pintura de azulejos existentes, troca de louças/metais por modelos básicos, novo vaso sanitário, box acrílico e revisão de sifões/flexíveis",base
